Categoria,Esercizio
Forza,back squat
Forza,deadlift
Forza,strict press
Forza,bench press
Forza,Strict Press
Forza,Bench Press
Forza,Clean & Jerk
Forza,Snatch
Ginnastica,pull up
Ginnastica,Chest to Bar
Ginnastica,Toes to Bar
Ginnastica,Handstand Hold
Ginnastica,Handstand Push-up
Ginnastica,Ring Muscle-up
Ginnastica,Bar Muscle-up
Metabolico,Fight Gone Bad
Metabolico,Grace
Metabolico,Helen
Metabolico,Annie
Metabolico,Murph
Metabolico,Fran
Metabolico,Cindy
Metabolico,Karen
Metabolico,Murph (Half)
Metabolico,fran
Condizionamento,Row 500m
Condizionamento,Row 1000m
Condizionamento,Row 2000m
Condizionamento,1 Mile Run
Condizionamento,Assault Bike 1km
Condizionamento,Burpee 50
